symptom,disease,doctor
"Vomiting, abdominal pain, nausea, pain in the hernia area, a sensation of dragging or heaviness",Spigelian Hernia,General Physician
"Amenorrhea, abdominal pain, changes in menstrual cycle, scanty menstruation, heavy menstruation, dark menstruation, dysmenorrhea",Dysfunctional Uterine Bleeding Infertility,General Physician
"Photophobia, tearing, eye pain, dry mouth, increased pulse rate, dry and parched tongue, dry and gritty eyes, itching eyes, sclerae reddening, slippery pulse",Phlyctenular Keratitis,General Physician
"Urinary incontinence, urine leakage, frequent urination, urgency, thinning or interruption of the urine stream",Cough-induced Urinary Incontinence in Women,Urologist
"Tremors of the limbs, angina, hypertension, abnormal sweating, nausea and vomiting, palpitations, arrhythmias, shock",Pheochromocytoma Crisis in the Elderly,General Physician
"Enlarged mass, often accompanied by pain and local skin numbness, congested surface of the mass",Fibrosarcoma,Oncologist
"Flaccid blisters, erythema, granulomatous vegetations",Familial Chronic Benign Pemphigus,General Physician
"Angiogenesis, systemic vascular damage, arteriosclerosis",Angiosarcoma,Oncologist
"Paralysis, sensory disturbances, neck and shoulder pain",Cervical Dislocation,General Physician
"Hearing loss, nausea, tinnitus, meningismus, uveitis, granuloma, retinal detachment, headache",Vogt-Koyanagi-Harada Syndrome,General Physician
"Headache, eye pain, nausea, and vomiting",Normal-Tension Glaucoma (NTG),General Physician
"Intermittent pain, tightness, swelling, or numbness in the bottom of the foot and heel; pain may radiate to the calf and sometimes along the arch of the foot with spasms; symptoms worsen after prolonged standing or walking; history of nocturnal pain awakening.",Tarsal Tunnel Syndrome,General Physician
"Fatigue, palpitations, dyspnea after activity, cyanosis, coughing up blood",Pregnancy Complicated by Rheumatic Heart Disease,Cardiologist
"Coughing, expulsion of thick sputum and foam, accompanied by alternating chills and fever, emaciation, lethargy, palpitations, shortness of breath, dry lips, and a weak and rapid pulse",Pulmonary Consumption,General Physician
"Fatigue, loss of appetite, hepatomegaly, jaundice, liver area discomfort, liver palm, and spider angiomas",Hepatitis D,General Physician
"Nausea, vomiting, diarrhea, etc.",Roseola Infantum,General Physician
"Spontaneous fractures, blue sclerae, joint hypermobility, dwarfism, poor dental development",Osteogenesis Imperfecta,General Physician
"Skin pruritus, wheal-like rash, tingling",Prurigo,General Physician
"Edema, macroscopic hematuria, hypertension, anemia",Mesangial Proliferative Glomerulonephritis,General Physician
"Miscarriage, premature birth, fever, abdominal pain, diarrhea, nausea, vomiting, back pain, renal tenderness on percussion",Pregnancy Complicated by Acute Pyelonephritis,General Physician
"Difficulty breathing, hoarseness, hard thyroid mass",Primary Thyroid Lymphoma,General Physician
"Difficulty swallowing, esophageal reflux, newborn shortness of breath, newborn stridor, abnormal breathing, swallowing disorder, choking while swallowing",Dysphagia Lusoria,General Physician
"Abdominal pain, fever, jaundice, sudden right upper quadrant colic, consciousness disorders, nausea and vomiting",Acute Suppurative Cholangitis,General Physician
"Diplopia, visual field defects, blurred vision",Posterior Vitreous Detachment (PVD),General Physician
"Abdominal pain, bloating, nausea, acid reflux, loss of appetite or no clinical symptoms",Chronic Superficial Gastritis,Gastroenterologist
"Proteinuria, hypoalbuminemia, edema, dry skin, diarrhea, hypertension, malnutrition, pallor, brittle hair, nails losing luster and becoming thin and brittle with white transverse lines, mental fatigue, lethargy, and cold limbs.",Pediatric Primary Nephrotic Syndrome,General Physician
"Headache, nausea and vomiting, blackout vision, blurred vision, ophthalmoplegia, concentric narrowing of the visual field",Optic Disc Edema and Papilledema,General Physician
"Skin purpura, ecchymosis, nosebleeds, visceral bleeding, and excessive menstrual bleeding in females",Platelet Dysfunction,General Physician
"Chest discomfort, palpitations, difficulty breathing, frothy sputum, fatigue, nausea and vomiting, dry cough, cyanosis of nail beds, lip cyanosis, low-grade fever, pale complexion, cold and clammy skin",High Altitude Pulmonary Edema (HAPE),General Physician
"Red urine, microscopic hematuria",Hematuria,General Physician
"Unilateral flank pain, microscopic hematuria, pain often colicky, may radiate to the same side of lower abdomen, testicle, or labium. Hematuria worsens after a pain attack, with symptoms of frequent urination, urgent urination, and painful urination.",Ureteral Calculi,General Physician
"Reduced sense of smell, dizziness, headache, diplopia, oculomotor disturbances, vomiting, epileptic seizures, facial numbness, hemiparesis or hemiplegia",Skull Base Tumor,Oncologist
"Fatigue, abdominal discomfort, enlarged seminal vesicles, urethral burning sensation, urinary urgency, urinary frequency, dysuria, dizziness",Transient Hypogammaglobulinemia of Infancy,General Physician
"Abdominal, truncal, and muscular aching and stiffness, generalized muscle rigidity, spasms, episodic limbs rigidity, emotional agitation, fear.",Stiff Person Syndrome (SPS),Neurologist
"Nosebleeds, nasal congestion, urticaria, creeping sensation, shock, vaginal bleeding",Leech Bite,General Physician
"Bloody nasal discharge, dryness and discomfort inside the nose, pain",Nasal Septal Ulcer,General Physician
"Difficulty breathing, impaired lung diffusing function, rapid breathing, cyanosis, hypoxemia, lung crackles, weight loss, fatigue, anorexia, joint pain, clubbing",Interstitial Pneumonia in the Elderly,General Physician
"Vomiting, pallor, cold sweats, difficulty urinating, pain during urination",Pediatric Urolithiasis,General Physician
"Shortness of breath, difficulty breathing, headache, coma, arrhythmia, restlessness, tremors, confusion, delirium, blurred vision",Respiratory Acidosis in the Elderly,General Physician
"Cough, expectoration, foul-smelling sputum, fever, hemoptysis, dyspnea, chest pain",Pulmonary Metastatic Tumor,Oncologist
"Suspicion, postnatal depression, high fever, hallucinations, anxiety, psychomotor excitement, mental disorder, despondency",Postpartum Psychosis,Psychiatrist
"Vomiting, diarrhea, yellow watery stool, low fever, headache, muscle pain, fatigue, and decreased appetite",Norovirus Gastroenteritis,General Physician
"Defecation disorders, abnormal defecation frequency",Encopresis in Children,General Physician
"Unilateral facial enlargement, tongue enlargement, dental anomalies",Pediatric Hemifacial Hypertrophy,General Physician
"Swelling and pain at the injury site, limb weakness and numbness, sensory disturbances in limbs below the level of injury",Spinal Cord Injury,General Physician
"Painless firm nodules, panniculitis",Subacute Nodular Migratory Panniculitis,General Physician
"Palpitations, shortness of breath, cough, systolic murmur at the apex of the heart",Papillary Muscle Dysfunction,General Physician
"Microcephaly, bleeding tendency, localizing signs, disorientation, irritability, diarrhea, abnormal liver function, hepatomegaly",Reye's Syndrome,General Physician
"Red or purple, slightly elevated papules or nodules",Pilonidal cyst,General Physician
"Hematochezia, anemia, melena, recurrent bleeding, tenesmus, a sensation of incomplete bowel evacuation",Colorectal Hemangioma,Oncologist
"Ptosis, impaired ocular movement, poor orientation, optic atrophy, visual impairment, vestibular damage, hearing loss, generalized muscle weakness, arrhythmia",Pediatric External Ophthalmoplegia-Retinitis Pigmentosa-Cardiac Conduction,Cardiologist
"Headaches, dizziness, fatigue, loss of appetite, nausea and vomiting, pain in the liver area, hematuria, significant liver enlargement and tenderness, difficulty breathing, abdominal pain and diarrhea, bloody stools",Phosphorus Poisoning,General Physician
"Ptosis, Strabismus, Deviated eyeball, Inability to move the eyeball voluntarily, Visual impairment",Ocular Motor Apraxia,General Physician
"Paroxysmal irritative cough, dyspnea, cough with mucoid sputum or blood, sore throat, headache, fever, nausea, vomiting, maculopapular rash, erythema nodosum",Mycoplasma Pneumonia in Children,General Physician
"Nosebleeds, bleeding gums, increased menstrual flow, anemia",Pediatric Vascular Hemophilia,General Physician
"Photophobia, tearing, stinging, eyelid spasm",Cicatricial Entropion,General Physician
"Frequent urination, urgent urination, painful urination, local rash, sexual dysfunction, pain",Male Genital Organ Infection,Infectious Diseases Specialist
"Nausea, dermatitis, papules, headache, dizziness, hair loss",Synthetic Resin Dermatitis,Dermatologist
"Crossing legs, flushed cheeks, increased vaginal discharge, wheezing",Pediatric Affectional Leg Crossing Syndrome,General Physician
"Flat nasal bridge, wide-set eyes, short neck, facial hypertrichosis, prominent forehead and cheekbones, gingival hypertrophy, 'gargoyle' facies, cherry-red spots at the macula, hepatosplenomegaly, telangiectasia, delayed response, and intellectual disability",GM1 Gangliosidosis,General Physician
"Swelling, congestion, erosion, burning sensation, itching or pain of the vulva, chronic inflammation resulting in vulvar pruritus and lichenification",Simple Vulvitis,Dermatologist
"Gland enlargement, subjective sensation of fullness and pain, gland recovery shortly after cessation of eating",Sialadenitis,General Physician
"Sepsis, constipation, convulsions, proteinuria, hypotension, nausea and abdominal pain, diarrhea, hyperesthesia",Malignant Eccrine Spiradenoma,General Physician
"Ejection murmur in pulmonary valve area, pulmonary stenosis, palpitations, tachycardia, abnormal breathing, cyanosis, pulmonary artery noise, sudden death, coughing, shortness of breath, fatigue, water-hammer pulse",Truncus Arteriosus,General Physician
"Fever, headache, rash, lymphadenopathy",Rickettsialpox,General Physician
"Erectile dysfunction, insufficient erection hardness, shortened erection duration",Non-organic Sexual Desire Disorder,General Physician
"Nasal obstruction, sensation of a foreign body in the nose, nosebleed",Nasal Papilloma,General Physician
"Swelling of one side of the body, thickened skin, dryness, roughness, pigmentation",Lower Limb Lymphedema,General Physician
"Salivation, vomiting, pain on swallowing, difficulty swallowing, esophageal ulcers, fever, gastrointestinal stricture, increased pulmonary water content, chest pain, burns to the pharyngeal and cheek area, superficial burns, erythematous burns",Esophageal Chemical Burns,General Physician
"Generalized or localized skin itching, paroxysmal and severe pruritus, with intense itching often worsening at night",Pruritus,Dermatologist
"Local pain, strangulating pain, protrusion, etc.",Perineal Hernia,General Physician
"Pericardial effusion, Cardiac tamponade, Distended jugular veins, Edema of lower extremities, Tachycardia, Reduced cardiac output, Myasthenia gravis, Distant heart sounds, Shock, Hepatomegaly, Abnormal heart sounds",Pericardial Thymoma,General Physician
"Fever, chills, skin and mucous membrane purpura, extensive bruising and hematoma, petechiae more common in lower limbs with even distribution, nosebleeds, gum bleeding, petechiae on the skin, skin bruising, cutaneous purpura, anemia, nosebleeds, purpura, abnormal pigmentation, easy bruising or purpling of the skin after trauma, chills, heavy menstrual bleeding, abnormal blood picture",Immune Thrombocytopenic Purpura (ITP),General Physician
