disease,symptom
Occupational Medicine,"Cough, expectoration, chest pain, chest tightness"
Hereditary Protein S Deficiency,Heterologous Protein Reaction
Vitreous Degeneration,"Decrease in vision, amblyopia, blurred vision, color weakness, and loss of visual field"
Infantile Umbilical Hernia,"The primary manifestation is a protrusion in the umbilical area that increases in size and the skin becomes tense, very thin, and slightly bluish when the infant cries. The protrusion decreases in size or disappears when the infant is calm, lying down, or asleep."
Atopic Dermatitis,"Skin redness, crusting, localized lymph node enlargement, severe itching, scales, pustules"
Cold Syndrome,"Dull complexion, aversion to cold, and cold extremities"
Pemphigoid Gestationis,"urticarial plaques, crusts, blisters, dermatitis, papules, itching"
Herpes Simplex,"Thin-walled blisters, clear blister fluid, spontaneous bursting and erosion in a short period, local skin itching, burning, or tingling sensation"
Ventricular Premature Beats,"Irregular heart rhythm, palpitations, shortness of breath"
Perimenopausal Syndrome,"Menstrual irregularities, hot flashes, night sweats, irritability, anxiety or depression, loss of self-control, memory decline, as well as potential urinary, reproductive, and cardiovascular diseases."
Intracranial Hematoma,"Localized scars or scalp hematoma, altered consciousness, coma, headache, vomiting, agitation, apathy, somnolence, disorientation, urinary incontinence"
Chronic Gastritis in the Elderly,"Abdominal distension, upper abdominal discomfort, belching, occult gastric pain, acid regurgitation, nausea and vomiting, loss of appetite, weight loss"
Lichen Striatus,"Itching, scales, papules"
Cholangiolithiasis and Cholangitis,"Biliary colic, fever, chills, jaundice"
Summer Heat Syndrome,"Prolonged fever, excessive thirst and drinking, polyuria, anhidrosis"
Asthmatic Bronchitis,"Fever, wheezing that worsens at night or in the early morning, predominantly irritating dry cough, expiratory dyspnea, wheezing audible in the lungs, mid to small wet crackles during inhalation, and severe cases may exhibit sternal retraction"
Perifollicular Fibromatosis,"Facial angiofibromas, Papules"
Stannosis (Tin Lung),"Chest pain, shortness of breath, cough, abnormal respiration"
Congenital Adrenal Hyperplasia in Children,"Metabolic acidosis, diarrhea, hyperkalemia, ambiguous genitalia, dehydration, precocious puberty, excess androgens, shock"
Amoebic Dysentery,"Abdominal discomfort, bloating and abdominal pain, alternating diarrhea and constipation, mucus or bloody pus stool, dysentery-like stools can increase up to 10-15 times per day or more, accompanied by tenesmus."
Colonic Leiomyosarcoma,"Abdominal pain, difficulty in defecation, abdominal discomfort"
Vulvar Furunculosis,"Skin surface tension, purplish-red nodules, tenderness, indistinct margins of the nodules, often accompanied by enlargement of the inguinal lymph nodes"
Vocal Cord Paralysis,"Difficulty in vocal cord abduction, difficulty breathing, choking cough"
Membranous stomatitis,"Anorexia, severe pain, halitosis, oral pain, stomatitis, drooling, sore throat, oral mucosal ulceration"
Pulmonary Myiasis,"Pulmonary purulent infection, chronic cough, pink frothy sputum, pulmonary infection, cardiopulmonary failure, bronchial-alveolar rales, fever with cough, expectoration, chest pain"
Pulmonary Lymphangioleiomyomatosis,"Progressive worsening of dyspnea, mild cough, dry cough or a small amount of white foamy sputum, hemoptysis"
Orbital Pseudotumor,"Proptosis, diplopia, pain, tenderness"
Pediatric Obsessive-Compulsive Disorder (OCD),"Depression, psychological suppression, irritability"
Plum Pit Qi,"Sensation of a foreign body in the throat, difficulty in swallowing or spitting it out, occurring intermittently"
Neonatal Jaundice,"Generalized allergy, fever, rash, joint pain, irregular fever, fever pain"
Pancreatic Pseudocyst,"Abdominal pain, transverse colon displacement, nausea and vomiting, consumptive weight loss"
Idiopathic Ventricular Fibrillation,"Disturbance of consciousness, convulsion, respiratory failure, syncope, lowered ventricular fibrillation threshold, idioventricular rhythm, disappearance of heart sounds and pulse, arrhythmia, cardiac arrest, sudden death, ventricular fibrillation, right ventricular outflow tract"
Lumbar Spondylolisthesis,"Pain in the lumbosacral region, sciatica, intermittent claudication"
Lobar Pneumonia,"High fever with chills, chest pain, coughing, coughing up rust-colored sputum, cyanosis, abdominal distension, diarrhea, restlessness, delirium, rapid breathing, flaring nostrils, productive cough"
Spontaneous Intraventricular Hemorrhage,"Nausea and vomiting, dizziness, shock, rapid but weak pulse, headache, coma, paralysis, ataxia, consciousness disorders, convulsions, hemiplegia, aphasia, high fever, pupil constriction"
Plasma Cell Leukemia,"Enlarged lymph nodes, anemia, splenomegaly, hepatomegaly, secondary infections, lytic bone lesions, disturbances of consciousness, weight loss, increased bone marrow plasma cells"
Liddle's Syndrome,"Difficulty breathing, shortness of breath, dyspnea"
Stargardt's Disease,"Decreased visual acuity, nyctalopia, sensation of foreign bodies in the eye"
Pediatric Cast Syndrome,"Abdominal pain, abdominal distension, nausea and vomiting, ascites, hypokalemia, dehydration, acute gastric dilation, hypovolemic shock, vomiting, singultus (hiccup), hypokalemia"
Bruxism,"Teeth grinding, jaw clenching"
Deviated Nasal Septum,"Nasal congestion, nosebleeds, reflexive headaches"
Third Ventricle Tumor,"Nausea, flushing, hearing loss, malnutrition, diabetes insipidus, anorexia"
Median Nerve Palsy,"Weakness or loss of grip strength and pronation strength in the forearm, sensory disturbances in the fingers, numbness, and pain"
Type I Spinal Vascular Malformation,"Pain in the thoracolumbar back or buttocks, motor dysfunction, delayed sensation, skin hypersensitivity"
Ependymoma,"Paroxysmal nausea, vomiting, headache, dizziness, speech disorders, unstable gait"
Summer Dermatitis,"Erythema, papules, vesicular papules, notable itching, burning sensation, scratch marks, scabs, hyperpigmentation"
Geriatric Depression,"Inferiority, sluggish response, anxiety, insomnia"
Pediatric Drowning,"Confusion, irregular breathing, decreased blood pressure and slow heartbeat, choking cough, vomiting or death due to reflexive laryngospasm"
Paronychia,"Swelling, redness, and pain on the affected side, pus formation at the lesion, fluctuation and white spots in the swollen area that are hard to rupture and release pus, nail lifting, and nail loss"
Obesity,"Weight gain, lower body obesity, striae adiposae, abdominal obesity, male-pattern obesity, secondary obesity"
Abdominal Wall Fibromatosis,"Colonic polyps, menopause, urinary urgency, urinary frequency, slow growth"
Patent Ductus Arteriosus in Children,"Presence of patent ductus arteriosus, three depression sign, hepatomegaly, heart murmur, respiratory distress syndrome, excessive sweating in hands and feet, neonatal heart failure, continuous machinery murmur, systolic murmur, feeding difficulties in infants, cardiomegaly, cyanosis of extremities"
Oral Trichomoniasis,"Cough, expectoration"
Hyperuricemia,"Hyperuricemia, increased deposition of urate in joints, uric acid crystals, uric acid crystals in white blood cells inside synovial fluid, obesity, hypertension, joint swelling and pain, hemolytic anemia, tophi"
Giant Retinal Tear-related Retinal Detachment,"Retinal tears, Retinal detachment"
Elderly Ventricular Flutter and Fibrillation,"Cyanosis, pallor, loss of consciousness, convulsions, disappearance of heart sounds and pulses, blood pressure drops to zero, chest pain"
Distal Tibial Burst Fracture,"History of trauma to the lower leg, localized pain, severe swelling, deformity, skin blistering, and even skin rupture, limb shortening"
Neonatal Intracranial Hemorrhage,"Irritability, restlessness, seizures, increased intracranial pressure, abnormal breathing, pallor, cyanosis, strabismus, indifferent facial expression, drowsiness"
Spinal Tumor,"Involvement of the corticospinal tract, localized neurological signs, fasciculations, myelopathy, organic neurological damage"
Peripheral Nerve Injury,"Sensory disturbances, trophic disturbances, motor function impairment, limited shoulder joint movement, muscle atrophy, wrist drop, loss of knee reflex, paralysis"
Laryngospasm,"Difficulty in breathing, cyanosis, convulsions, respiratory arrest"
Upper Gastrointestinal Bleeding,"Hematemesis and melena, palpitations, cold sweat, restlessness, pallor, tachycardia, hypotension, syncope, indigestion, black stools with blood, brown stools, hematochezia"
Pregnancy Complications,"Dizziness, jaundice, pain in the liver area, lower right abdominal pain"
Chronic Lymphocytic Leukemia (CLL),"Wasting, anemia, fatigue, weight loss, recurrent infections, tendency to bleed, superficial lymph node enlargement"
Follicular Adenoma Proliferation Syndrome,"Sparse menstruation, weight gain, amenorrhea"
Vulvar Bowenoid Papulosis,"Brownish-red papules, asymptomatic"
Hemivertebrae Deformity,"Stiff neck, neck pain, spinal and limb deformities"
Cystic Tumors and Cysts,"Abdominal cysts often show no obvious symptoms, and cutaneous cysts may exhibit cystic swellings"
Congenital Leukemia,"Fever, drowsiness, loss of appetite, failure to gain weight, shortness of breath"
Renal Disease-Associated Mental Disorders,"Disturbances in consciousness, somnolence, dementia, poverty of thought, catatonia, irritability, asthenic syndrome, depression, neurasthenia, delirium, coma, and fatigue"
Vulvar Ewing's Sarcoma,"A slowly growing mass in the vulva, movable, tender, and with a sensation of fluctuation"
Erectile Dysfunction,"Short erection duration, poor erection hardness, premature ejaculation"
Neurofibromatosis of Bone,"Spinal scoliosis, congenital pseudarthrosis of the tibia and fibula, limb hypertrophy"
Sebostasis,"Dry skin, fine cracks, lack of sebum, often itchy"
Hyperthyroid Heart Disease,"Palpitations, panic, and enlarged neck"
Oral and Maxillofacial Hemangioma,"Facial angiofibroma, Port-wine stain"
Aortic Regurgitation,"Palpitations, dyspnea, chest pain, dizziness, transient syncope, faint heart sounds, pistol shot femoral artery sounds, cyanosis, systolic and diastolic murmurs, systolic thrill, wide pulse pressure, heart failure"
Infantile Eczema,"Papules, Vesicles, Pruritus"
Reiter's Syndrome,"Conjunctival congestion, urinary frequency, dysuria, difficulty urinating, and urinary retention"
Acute Pyelonephritis,"High fever with chills, generalized myalgia, urinary frequency, urinary urgency, dysuria, flank pain with renal percussion tenderness, fatigue, reduced appetite, possible nausea and vomiting"
Acquired Arteriovenous Fistula (AVF),"Formation of a pulsatile mass at the wound site, tortuous vessel wall, varicose veins, headache, dizziness, memory impairment, visual disturbances, chest tightness, shortness of breath, palpitations"
External Auditory Canal Tumor,"Pain, swelling, fever"
Pregnancy-associated Myocardial Infarction,"Chest pain during pregnancy, precordial discomfort, angina, jugular vein distension, chest tightness, shortness of breath, and generalized edema"
Pediatric Multiple Tubular Dysfunction Syndrome,"Growth retardation, weakness, poor appetite, vomiting"
Parkinson's Plus Syndrome,"Instability of posture, dysfunction of balance, ataxia"
Insomnia,"Difficulty falling asleep, inability to sleep deeply, and inability to fall back asleep after waking up"
Megaloblastic Anemia in the Elderly,"Diarrhea, elevated red blood cell distribution width, nausea and vomiting, acute anemia, anemia, increased red blood cell volume, sensory disturbances"
Diabetic Gangrene,"Weakness and numbness in the lower limbs after walking, calf pain, rest pain, superficial ulcers, gangrene"
Alstrom Syndrome in Children,"Reduced vision, deafness, obesity"
Small Intestinal Injury,"Evident history of abdominal trauma, intestinal rupture due to open abdominal injuries can lead to leakage of small intestinal fluid from the wound, severe abdominal pain, and signs of peritoneal irritation."
Pulmonary Benign Lymphocytic Angiitis and Granulomatosis,"Fatigue, cough, chest tightness, nodules, hemoptysis, fever, malaise"
Porcelain-fused-to-metal (PFM) dental crowns,"Toothache, dental caries, swollen and painful gums"
Thyroid Storm,"High fever, shock, heart failure"
Elephantiasis of the Penis and Scrotum,"Scrotal enlargement, penis and scrotal edema, high fever with chills, inguinal lymphadenopathy, tenderness"
Eyelid Furuncle and Abscess,"The eyelid is red, swollen, hot, painful, with formation of a nodule. After several days, the nodule may feel fluctuant and eventually form an ulcer."
Anal Fissure,"Anal lesion, anal burning during defecation, short episodes of dull pain in the anal area, constipation, perianal cyst, rectal bleeding, fissure ulcer, postpartum rectal bleeding, severe anal pain, anal fissure triad, defecation disorder"
Conjunctival Thelaziasis in Children,"Photophobia, tearing, eye pain, corneal opacity, conjunctival congestion, bacterial infection, increased intraocular pressure"
Salivary Gland Tuberculosis,"Purulent secretions, pain"
Retinal Concussion,"Transient retinal edema after contusion, retinal whitening, and decreased vision"
Retroperitoneal Infection and Abscess,"Retroperitoneal fibrosis, abdominal pain, nausea and vomiting, obliteration of the psoas shadow, septic thrombosis, fever"
